AAF Management Ltd.,Venture Fund,"Pre-SeedSeed,Series A",www.aaf.vc,"Advertising (AdTech)Big Data & Analytics,Marketing (MarTech)SoftwareHealthcareApps,Artificial Intelligence & Machine Learning (AI/ML),Cryptocurrency / BlockchainFinTechConsumer,Consumer ElectronicsE-Sports (Gaming)Developer Tools,Information Technology"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
ABB,Corporate VC,Series CSeries D,https://global.abb/group/en,"CloudTechHardwareInformation Technology,IoT (Internet of Things)Software"
AbbVie,Corporate VC,"Series CSeries D,Series B",http://www.abbvie.com,BioTechHealthcare
AbCellera Biologics,Venture Fund,"Series BSeries C,Series D",https://www.abcellera.com/,BioTechPetTech
Aberdare Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.aberdare.com,HealthcareInsurTech
Abingworth,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.abingworth.com,BioTechHealthcareMedical Device
Able Partners,Venture Fund,"Pre-SeedSeed,Series A",www.ablepartners.nyc,"Consumer GoodsE-Commerce,Artificial Intelligence & Machine Learning (AI/ML)BioTech,HealthcareLife ScienceAppsParentingEdTech,Professional ServicesCommunityPaaS (Platforms)CRM,Information TechnologyConsumerSoftware,Health & Wellness"
ABRY Partners,Venture Fund,"SeedSeries A,Series B",http://www.abry.com,"BioTechHealth & WellnessHealthcareGovTechApps,SaaSSoftwareEntertainment & Media"
ABS Capital Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.abscapital.com,"Advertising (AdTech)Big Data & Analytics,Marketing (MarTech)SoftwareCreator EconomyB2B,Entertainment & MediaE-CommerceMarketplace,MobileCloudTechCybersecurityInformation Technology,Transportation"
Abstract,Corporate VC,Pre-SeedSeed,https://www.abstract.com/,CollaborationCRMProductivity ToolsSoftware
Acacia Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.acaciavp.com,SoftwareMobileSaaSConsumerFinTech
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
Academy Investor Network,Venture Fund,"SeedSeries A,Series CSeries D,Series B","https://www.academyinvestor.com/","Manufacturing,Artificial Intelligence & Machine Learning (AI/ML),ClimateTech & CleanTechCloudTechCybersecurity,HealthcareE-CommerceIoT (Internet of Things),Life ScienceRoboticsSaaSSpaceTech,Augmented & Virtual Reality (AR/VR)"
